ID,Model,2021,2022,Differenz
0,SB 12,103,100,-3
1,ASW 28 E 18m,114,113,-1
2,DG 800LA 15m,113,112,-1
3,LS 8T 18m,114,113,-1
4,LS 8 18m,114,113,-1
5,LAK-19 18m,114,113,-1
6,Discus 2cT 18m,114,113,-1
7,Discus 2cFES 18m,114,113,-1
8,Discus 2c 18m,114,113,-1
9,AS 34 Me 18m,114,113,-1
10,ASW 28 18m,114,113,-1
11,LS 8e 18m,114,113,-1
12,LAK-19 T 18m,114,113,-1
13,LS 10 18m,118,119,1
14,HpH 304 SJ Shark,118,119,1
15,HpH 304 ES Shark,118,119,1
16,HpH 304 MS Shark,118,119,1
17,HpH 304 S Shark,118,119,1
18,LS 10-st 18m,118,119,1
19,EB 28,124,125,1
20,LS 7 neo,107,108,1
21,LS 8e neo,108,109,1
22,LS 8 neo,108,109,1
23,Discus 2a,108,109,1
24,DG 800S 18m,118,119,1
25,LS 4 neo,105,106,1
26,DG 800A/B 18m,118,119,1
27,DG 808C Classic 18m,118,119,1
28,Ventus 2cxa 15m,114,115,1
29,Ventus 2ax,114,115,1
30,DG 1000E neo 18m,106,107,1
31,DG 1000E neo 20m,110,111,1
32,Ventus 2a,114,115,1
33,DG 1000T neo 20m,110,111,1
34,DG 1000S neo 20m,110,111,1
35,DG 1000M neo 20m,110,111,1
36,H-301,100,101,1
37,EB 28 edition,124,125,1
38,Ventus 2cxT 18m,118,120,2
39,Duo Discus T,110,112,2
40,Duo Discus,110,112,2
41,LS 11,111,113,2
42,Duo Discus XLT,111,113,2
43,Ventus 2cxa 18m,119,121,2
44,EB 29D,125,127,2
45,Eta,125,127,2
46,ASG 29 RES 18m,119,121,2
47,Duo Discus XL FES,111,113,2
48,Ventus 2cxa FES 18m,119,121,2
49,Duo Discus XT,111,113,2
50,SZD-56-2 Diana 2 FES,114,116,2
51,Duo Discus WL,111,113,2
52,Duo Discus X,111,113,2
53,AS 33 Me 15m,114,116,2
54,AS 33 Es 15m,114,116,2
55,AS 33 15m,114,116,2
56,Ventus 2cxM 18m,118,120,2
57,Duo Discus XL,111,113,2
58,Duo Discus T WL,111,113,2
59,Ventus 2cx 18m,118,120,2
60,SZD-56-2 Diana 2,114,116,2
61,DG 808S 18m,118,120,2
62,DG 808C Competition 18m,118,120,2
63,ASH 26 E,117,119,2
64,JS1 18m,119,121,2
65,Ventus 2cT 18m,118,120,2
66,Ventus 2cM 18m,118,120,2
67,Ventus 2c 18m,118,120,2
68,Ventus 3M 15m,114,116,2
69,LAK-17A 18m,117,119,2
70,Antares 18T,118,120,2
71,ASH 31 Mi 18m,118,120,2
72,Ventus 2 cxa,119,121,2
73,ASG 29 Es 18m,119,121,2
74,ASG 29 E 18m,119,121,2
75,ASG 29 18m,119,121,2
76,JS1 TJ 18m,119,121,2
77,Antares 18S,118,120,2
78,LAK-17A T 18m,117,119,2
79,ASH 26,117,119,2
80,Ventus 3T 15m,114,116,2
81,JS3 TJ 15m,114,116,2
82,LAK-17B T 18m,117,119,2
83,JS3 RES 15m,114,116,2
84,LAK-17B FES 18m,117,119,2
85,LAK-17B 18m,117,119,2
86,Ventus 3 15m,114,116,2
87,Ventus 3F 15m,114,116,2
88,JS3 15m,114,116,2
89,JS3 TJ 18m,119,122,3
90,JS3 RES 18m,119,122,3
91,Ventus 3M 18m,119,122,3
92,JS3 18m,119,122,3
93,Ventus 3T 18m,119,122,3
94,Antares 21E,121,124,3
95,Antares 20E/21,121,124,3
96,Ventus 3 18m,119,122,3
97,Ventus 3F 18m,119,122,3
98,AS 33 Es 18m,119,122,3
99,AS 33 18m,119,122,3
100,EB 29,125,128,3
101,NimEta X,125,128,3
102,Antares 23E,123,126,3
103,Antares 23T,123,126,3
104,Quintus,123,126,3
105,Antares 20E,120,123,3
106,AS 33 Me 18m,119,122,3
107,EB 29DR,125,129,4
108,EB 29R,125,129,4
109,LAK-17B T 21m,119,123,4
110,LAK-17B FES 21m,119,123,4
111,LAK-17B 21m,119,123,4
112,ASH 31 Mi 21m,121,125,4
113,JS1C TJ 21m,122,127,5
114,JS1C 21m,122,127,5
115,HpH 304 TS Twin Shark,113,119,6
116,ASG 32,114,120,6
117,ASG 32 EL,114,120,6
118,ASG 32 Mi,114,120,6
119,Arcus,114,120,6
120,Arcus E,114,120,6
121,Arcus M,114,120,6
122,Arcus T,114,120,6
